q_locus_tag	cc_id
EQU24_RS00080	0
EQU24_RS00085	0
EQU24_RS00165	1
EQU24_RS00165	1
EQU24_RS00165	1
EQU24_RS00165	1
EQU24_RS00175	2
EQU24_RS00180	2
EQU24_RS00210	3
EQU24_RS00210	3
EQU24_RS00225	4
EQU24_RS00230	4
EQU24_RS00245	5
EQU24_RS00250	5
EQU24_RS00255	6
EQU24_RS00260	6
EQU24_RS00275	7
EQU24_RS00625	8
EQU24_RS00625	8
EQU24_RS00640	9
EQU24_RS00640	9
EQU24_RS00645	10
EQU24_RS00645	10
EQU24_RS00650	11
EQU24_RS00650	11
EQU24_RS00650	11
EQU24_RS00650	11
EQU24_RS00650	11
EQU24_RS00650	11
EQU24_RS00650	11
EQU24_RS00650	11
EQU24_RS00650	11
EQU24_RS00650	11
EQU24_RS00690	12
EQU24_RS00695	12
EQU24_RS00845	13
EQU24_RS00850	13
EQU24_RS00860	14
EQU24_RS00865	14
EQU24_RS00930	11
EQU24_RS00930	11
EQU24_RS00930	11
EQU24_RS00930	11
EQU24_RS00930	11
EQU24_RS00930	11
EQU24_RS00930	11
EQU24_RS00930	11
EQU24_RS00930	11
EQU24_RS00930	11
EQU24_RS00930	11
EQU24_RS00930	11
EQU24_RS00930	11
EQU24_RS00930	11
EQU24_RS01010	15
EQU24_RS01015	15
EQU24_RS01030	1
EQU24_RS01030	1
EQU24_RS01030	1
EQU24_RS01060	16
EQU24_RS01125	17
EQU24_RS01255	18
EQU24_RS01260	18
EQU24_RS01385	19
EQU24_RS01385	19
EQU24_RS01390	20
EQU24_RS01390	20
EQU24_RS01395	20
EQU24_RS01395	20
EQU24_RS01425	21
EQU24_RS01430	21
EQU24_RS01475	22
EQU24_RS01480	22
EQU24_RS01550	23
EQU24_RS01560	23
EQU24_RS01630	24
EQU24_RS01635	24
EQU24_RS01795	25
EQU24_RS01795	25
EQU24_RS01810	26
EQU24_RS01810	26
EQU24_RS01810	26
EQU24_RS01810	26
EQU24_RS01810	26
EQU24_RS01810	26
EQU24_RS01815	27
EQU24_RS01820	27
EQU24_RS01895	28
EQU24_RS01900	28
EQU24_RS02040	29
EQU24_RS02040	29
EQU24_RS02040	29
EQU24_RS02045	29
EQU24_RS02500	30
EQU24_RS02505	30
EQU24_RS02535	29
EQU24_RS02535	29
EQU24_RS02545	11
EQU24_RS02545	11
EQU24_RS02545	11
EQU24_RS02545	11
EQU24_RS02545	11
EQU24_RS02545	11
EQU24_RS02545	11
EQU24_RS02545	11
EQU24_RS02545	11
EQU24_RS02545	11
EQU24_RS02545	11
EQU24_RS02545	11
EQU24_RS02705	31
EQU24_RS02710	32
EQU24_RS02735	8
EQU24_RS02735	8
EQU24_RS02750	9
EQU24_RS02750	9
EQU24_RS02755	10
EQU24_RS02755	10
EQU24_RS03040	33
EQU24_RS03045	33
EQU24_RS03070	11
EQU24_RS03070	11
EQU24_RS03070	11
EQU24_RS03070	11
EQU24_RS03070	11
EQU24_RS03070	11
EQU24_RS03070	11
EQU24_RS03070	11
EQU24_RS03070	11
EQU24_RS03080	34
EQU24_RS03080	34
EQU24_RS03080	34
EQU24_RS03080	34
EQU24_RS03090	34
EQU24_RS03090	34
EQU24_RS03090	34
EQU24_RS03260	35
EQU24_RS03260	35
EQU24_RS03325	36
EQU24_RS03330	36
EQU24_RS03405	37
EQU24_RS03420	38
EQU24_RS03430	39
EQU24_RS03440	39
EQU24_RS03460	25
EQU24_RS03460	25
EQU24_RS03470	40
EQU24_RS03475	40
EQU24_RS03495	41
EQU24_RS03500	41
EQU24_RS03550	42
EQU24_RS03550	42
EQU24_RS03550	42
EQU24_RS03600	26
EQU24_RS03600	26
EQU24_RS03600	26
EQU24_RS03600	26
EQU24_RS03600	26
EQU24_RS03600	26
EQU24_RS04130	43
EQU24_RS04130	43
EQU24_RS04135	44
EQU24_RS04145	45
EQU24_RS04150	45
EQU24_RS04170	46
EQU24_RS04175	46
EQU24_RS04230	47
EQU24_RS04230	47
EQU24_RS04240	48
EQU24_RS04240	48
EQU24_RS04245	48
EQU24_RS04300	49
EQU24_RS04305	49
EQU24_RS04675	11
EQU24_RS04675	11
EQU24_RS04675	11
EQU24_RS04675	11
EQU24_RS04675	11
EQU24_RS04675	11
EQU24_RS04675	11
EQU24_RS04675	11
EQU24_RS04675	11
EQU24_RS04675	11
EQU24_RS04675	11
EQU24_RS04675	11
EQU24_RS04715	50
EQU24_RS04785	26
EQU24_RS04785	26
EQU24_RS04785	26
EQU24_RS04785	26
EQU24_RS04785	26
EQU24_RS04785	26
EQU24_RS04960	51
EQU24_RS04965	51
EQU24_RS04985	52
EQU24_RS04990	52
EQU24_RS05060	53
EQU24_RS05060	53
EQU24_RS05060	53
EQU24_RS05095	54
EQU24_RS05100	55
EQU24_RS05105	55
EQU24_RS05350	56
EQU24_RS05460	57
EQU24_RS05465	57
EQU24_RS05535	58
EQU24_RS05540	58
EQU24_RS05600	59
EQU24_RS05605	59
EQU24_RS05620	60
EQU24_RS05625	60
EQU24_RS05670	61
EQU24_RS05675	61
EQU24_RS05720	11
EQU24_RS05790	25
EQU24_RS05790	25
EQU24_RS05825	62
EQU24_RS05830	62
EQU24_RS05960	63
EQU24_RS05965	63
EQU24_RS06005	64
EQU24_RS06025	29
EQU24_RS06030	29
EQU24_RS06030	29
EQU24_RS06030	29
EQU24_RS06030	29
EQU24_RS06030	29
EQU24_RS06320	65
EQU24_RS06325	65
EQU24_RS06345	66
EQU24_RS06350	66
EQU24_RS06515	67
EQU24_RS06645	11
EQU24_RS06645	11
EQU24_RS06645	11
EQU24_RS06645	11
EQU24_RS06645	11
EQU24_RS06645	11
EQU24_RS06645	11
EQU24_RS06645	11
EQU24_RS06645	11
EQU24_RS06645	11
EQU24_RS06645	11
EQU24_RS06645	11
EQU24_RS06655	11
EQU24_RS06655	11
EQU24_RS06655	11
EQU24_RS06655	11
EQU24_RS06655	11
EQU24_RS06655	11
EQU24_RS06655	11
EQU24_RS06655	11
EQU24_RS06655	11
EQU24_RS06655	11
EQU24_RS06655	11
EQU24_RS06655	11
EQU24_RS06705	68
EQU24_RS06715	68
EQU24_RS06860	69
EQU24_RS06860	69
EQU24_RS06880	70
EQU24_RS07000	71
EQU24_RS07005	71
EQU24_RS07060	72
EQU24_RS07065	72
EQU24_RS07115	64
EQU24_RS07140	11
EQU24_RS07140	11
EQU24_RS07140	11
EQU24_RS07140	11
EQU24_RS07140	11
EQU24_RS07140	11
EQU24_RS07140	11
EQU24_RS07140	11
EQU24_RS07140	11
EQU24_RS07140	11
EQU24_RS07140	11
EQU24_RS07140	11
EQU24_RS07150	11
EQU24_RS07150	11
EQU24_RS07150	11
EQU24_RS07150	11
EQU24_RS07150	11
EQU24_RS07150	11
EQU24_RS07150	11
EQU24_RS07150	11
EQU24_RS07150	11
EQU24_RS07150	11
EQU24_RS07150	11
EQU24_RS07150	11
EQU24_RS07255	26
EQU24_RS07255	26
EQU24_RS07255	26
EQU24_RS07255	26
EQU24_RS07255	26
EQU24_RS07255	26
EQU24_RS07330	73
EQU24_RS07335	73
EQU24_RS07350	74
EQU24_RS07350	74
EQU24_RS07350	74
EQU24_RS07440	75
EQU24_RS07445	75
EQU24_RS07455	76
EQU24_RS07585	77
EQU24_RS07590	77
EQU24_RS07635	78
EQU24_RS07640	78
EQU24_RS07845	79
EQU24_RS07890	26
EQU24_RS07890	26
EQU24_RS07890	26
EQU24_RS07890	26
EQU24_RS07890	26
EQU24_RS07890	26
EQU24_RS07900	11
EQU24_RS07990	80
EQU24_RS08010	81
EQU24_RS08015	81
EQU24_RS08045	74
EQU24_RS08045	74
EQU24_RS08045	74
EQU24_RS08050	80
EQU24_RS08070	82
EQU24_RS08075	82
EQU24_RS08100	83
EQU24_RS08105	83
EQU24_RS08245	29
EQU24_RS08245	29
EQU24_RS08245	29
EQU24_RS08245	29
EQU24_RS08245	29
