,model_name,split,mac_precision,mac_recall,mac_f1,support,model_type,ds_size,seq_len,fold,best_val_score,epoch_stop,total_time
0,2CNN_pool_fold2_90bp_10000seqs,train,0.9935099509567594,0.9996284944738552,0.9965490067267112,8000,2CNN_pool,10000,90,2,0.0118448522537946,4458,1088.0998406410215
1,2CNN_pool_fold2_90bp_10000seqs,test,0.9962615945902854,0.9931475287997028,0.9946962452272508,2000,2CNN_pool,10000,90,2,0.0118448522537946,4458,1088.0998406410215
0,2CNN_pool_fold1_120bp_10000seqs,train,0.9919332421899376,0.99953509995351,0.995700012896188,8000,2CNN_pool,10000,120,1,0.0268417818844318,2567,691.8616859912872
1,2CNN_pool_fold1_120bp_10000seqs,test,0.9835959487665074,0.9926501873897706,0.9880518125429808,2000,2CNN_pool,10000,120,1,0.0268417818844318,2567,691.8616859912872
0,2CNN_pool_fold0_90bp_10000seqs,train,0.980295135983458,0.9988390452307976,0.989417695825451,8000,2CNN_pool,10000,90,0,0.0322171036303043,1949,538.8004288673401
1,2CNN_pool_fold0_90bp_10000seqs,test,0.9779619679699976,0.9853660349312522,0.9813426710844836,2000,2CNN_pool,10000,90,0,0.0322171036303043,1949,538.8004288673401
0,2CNN_pool_fold2_130bp_10000seqs,train,0.9950980392156864,0.999722106433236,0.99739185947137,8000,2CNN_pool,10000,130,2,0.0170675058215856,2268,628.2959332466125
1,2CNN_pool_fold2_130bp_10000seqs,test,0.9807606734289868,0.9922546078954756,0.9863108390473386,2000,2CNN_pool,10000,130,2,0.0170675058215856,2268,628.2959332466125
0,2CNN_pool_fold0_40bp_10000seqs,train,0.9577547024683588,0.9974009096816112,0.9768212294627986,8000,2CNN_pool,10000,40,0,0.0581825353428721,3451,916.8958349227904
1,2CNN_pool_fold0_40bp_10000seqs,test,0.9074386631529489,0.9873909006499536,0.9442270544588788,2000,2CNN_pool,10000,40,0,0.0581825353428721,3451,916.8958349227904
0,2CNN_pool_fold4_40bp_2000seqs,train,0.917498403736936,0.9941520467836256,0.9530397606594638,1600,2CNN_pool,2000,40,4,0.1334902530908584,3015,177.59694814682007
1,2CNN_pool_fold4_40bp_2000seqs,test,0.8051702729122084,0.9340823970037454,0.8563831236879665,400,2CNN_pool,2000,40,4,0.1334902530908584,3015,177.59694814682007
0,2CNN_pool_fold1_90bp_6000seqs,train,0.9959016393442623,0.9997674418604652,0.9978218246835086,4800,2CNN_pool,6000,90,1,0.0221604829281568,3446,537.0642490386963
1,2CNN_pool_fold1_90bp_6000seqs,test,0.978525033562347,0.9932041343669252,0.98567358752302,1200,2CNN_pool,6000,90,1,0.0221604829281568,3446,537.0642490386963
0,2CNN_pool_fold0_20bp_2000seqs,train,0.8662962027448008,0.98971482000935,0.9193601614434947,1600,2CNN_pool,2000,20,0,0.1284535585343837,2109,157.45018362998962
1,2CNN_pool_fold0_20bp_2000seqs,test,0.7918092235933316,0.9073153899240856,0.8398937922747446,400,2CNN_pool,2000,20,0,0.1284535585343837,2109,157.45018362998962
0,2CNN_pool_fold2_30bp_10000seqs,train,0.8911848031805127,0.9921678321678322,0.9366917398954688,8000,2CNN_pool,10000,30,2,0.0555058286190032,1864,545.1725265979767
1,2CNN_pool_fold2_30bp_10000seqs,test,0.8857762113109707,0.991792576011938,0.9333811028062788,2000,2CNN_pool,10000,30,2,0.0555058286190032,1864,545.1725265979767
0,2CNN_pool_fold3_50bp_10000seqs,train,0.9741533961770676,0.9984683932052354,0.9860536330408456,8000,2CNN_pool,10000,50,3,0.0219667462781071,3533,873.5610494613647
1,2CNN_pool_fold3_50bp_10000seqs,test,0.9770239628906244,0.9888588230092408,0.982880160918048,2000,2CNN_pool,10000,50,3,0.0219667462781071,3533,873.5610494613647
0,2CNN_pool_fold3_20bp_10000seqs,train,0.8753195182556383,0.9911389468800742,0.926062631705916,8000,2CNN_pool,10000,20,3,0.0547903309464454,3891,952.7514736652374
1,2CNN_pool_fold3_20bp_10000seqs,test,0.8811150338009094,0.9885003711952486,0.9291828342785644,2000,2CNN_pool,10000,20,3,0.0547903309464454,3891,952.7514736652374
0,2CNN_pool_fold3_20bp_2000seqs,train,0.8461739836121364,0.9878447872837772,0.906829729884728,1600,2CNN_pool,2000,20,3,0.2021320623159408,1919,127.42294406890868
1,2CNN_pool_fold3_20bp_2000seqs,test,0.7272989079246366,0.9282040352372832,0.799817233779498,400,2CNN_pool,2000,20,3,0.2021320623159408,1919,127.42294406890868
0,2CNN_pool_fold3_100bp_6000seqs,train,0.9865898491083676,0.9992278588525982,0.9928160170874776,4800,2CNN_pool,6000,100,3,0.0467775260657072,4098,629.3105795383453
1,2CNN_pool_fold3_100bp_6000seqs,test,0.9151457599246876,0.9834192592142424,0.9463004714080756,1200,2CNN_pool,6000,100,3,0.0467775260657072,4098,629.3105795383453
0,2CNN_pool_fold4_60bp_2000seqs,train,0.9512345679012344,0.9967043314500942,0.9729012253775116,1600,2CNN_pool,2000,60,4,0.1187056174129247,2524,146.33744525909424
1,2CNN_pool_fold4_60bp_2000seqs,test,0.829547105037301,0.9692090395480224,0.8889372718193448,400,2CNN_pool,2000,60,4,0.1187056174129247,2524,146.33744525909424
0,2CNN_pool_fold2_80bp_6000seqs,train,0.994643777709042,0.9996895615056266,0.9971527330472458,4800,2CNN_pool,6000,80,2,0.0371418330570062,4965,670.5291073322296
1,2CNN_pool_fold2_80bp_6000seqs,test,0.9313050267187856,0.9845437616387336,0.9564491995299992,1200,2CNN_pool,6000,80,2,0.0371418330570062,4965,670.5291073322296
0,2CNN_pool_fold4_30bp_6000seqs,train,0.8986594421897935,0.9928399097206008,0.94130135632267,4800,2CNN_pool,6000,30,4,0.0558107173691193,4431,732.9455020427704
1,2CNN_pool_fold4_30bp_6000seqs,test,0.8771084337349399,0.9909741674447556,0.9276863544990678,1200,2CNN_pool,6000,30,4,0.0558107173691193,4431,732.9455020427704
0,2CNN_pool_fold0_90bp_6000seqs,train,0.9726935312831388,0.9982945736434108,0.9851308860724376,4800,2CNN_pool,6000,90,0,0.0439738361040751,2719,437.2569682598114
1,2CNN_pool_fold0_90bp_6000seqs,test,0.9085153529597976,0.9934883720930232,0.946849057696391,1200,2CNN_pool,6000,90,0,0.0439738361040751,2719,437.2569682598114
0,2CNN_pool_fold2_20bp_2000seqs,train,0.8961161387631975,0.9925198690977092,0.9393536068190236,1600,2CNN_pool,2000,20,2,0.1869529885053634,4282,250.1834752559662
1,2CNN_pool_fold2_20bp_2000seqs,test,0.755565071208805,0.9214874355539316,0.8213128452421957,400,2CNN_pool,2000,20,2,0.1869529885053634,4282,250.1834752559662
0,2CNN_pool_fold2_140bp_10000seqs,train,0.9992406985573272,0.9999534515663548,0.9995966405396004,8000,2CNN_pool,10000,140,2,0.0222504801899194,3953,1001.7107937335968
1,2CNN_pool_fold2_140bp_10000seqs,test,0.9783413070242848,0.9926358557643474,0.9853971309514532,2000,2CNN_pool,10000,140,2,0.0222504801899194,3953,1001.7107937335968
0,2CNN_pool_fold3_40bp_10000seqs,train,0.960889524515776,0.9976329713171818,0.978596817001471,8000,2CNN_pool,10000,40,3,0.0196774893701076,4959,1147.1672222614288
1,2CNN_pool_fold3_40bp_10000seqs,test,0.9657761062195734,0.994782685590485,0.9797728605676322,2000,2CNN_pool,10000,40,3,0.0196774893701076,4959,1147.1672222614288
0,2CNN_pool_fold0_140bp_10000seqs,train,1.0,1.0,1.0,8000,2CNN_pool,10000,140,0,0.0045882991589605,4828,1146.9240505695343
1,2CNN_pool_fold0_140bp_10000seqs,test,1.0,1.0,1.0,2000,2CNN_pool,10000,140,0,0.0045882991589605,4828,1146.9240505695343
0,2CNN_pool_fold0_70bp_2000seqs,train,0.8907828282828283,0.992577128276502,0.9366962127741448,1600,2CNN_pool,2000,70,0,0.2048016035556793,2175,129.9766652584076
1,2CNN_pool_fold0_70bp_2000seqs,test,0.7385948051615219,0.866215678471946,0.7919598155467721,400,2CNN_pool,2000,70,0,0.2048016035556793,2175,129.9766652584076
0,2CNN_pool_fold3_100bp_2000seqs,train,0.9887640449438204,0.9993021632937892,0.9939364303178484,1600,2CNN_pool,2000,100,3,0.3388004004955292,4913,251.6103663444519
1,2CNN_pool_fold3_100bp_2000seqs,test,0.6699940582293524,0.6387167767056036,0.6520549569093258,400,2CNN_pool,2000,100,3,0.3388004004955292,4913,251.6103663444519
0,2CNN_pool_fold0_120bp_2000seqs,train,0.8135198135198136,0.9832167832167832,0.8804721383927835,1600,2CNN_pool,2000,120,0,0.6708710289001465,1676,105.87339043617249
1,2CNN_pool_fold0_120bp_2000seqs,test,0.4970249752858448,0.5149822244794312,0.4999359808870072,400,2CNN_pool,2000,120,0,0.6708710289001465,1676,105.87339043617249
0,2CNN_pool_fold3_60bp_2000seqs,train,0.9539360011058124,0.996939736346516,0.9742982779153664,1600,2CNN_pool,2000,60,3,0.117729845046997,3734,204.28460931777957
1,2CNN_pool_fold3_60bp_2000seqs,test,0.8294573643410853,0.9278429668260176,0.8710336410909477,400,2CNN_pool,2000,60,3,0.117729845046997,3734,204.28460931777957
0,2CNN_pool_fold3_70bp_10000seqs,train,0.9905660377358492,0.9994434395436204,0.9949367982628268,8000,2CNN_pool,10000,70,3,0.0167371062040328,2247,594.4602785110474
1,2CNN_pool_fold3_70bp_10000seqs,test,0.9781319270494504,0.9953682062697088,0.9864894862679932,2000,2CNN_pool,10000,70,3,0.0167371062040328,2247,594.4602785110474
0,2CNN_pool_fold3_120bp_10000seqs,train,0.9967078189300412,0.999814039981404,0.9982527343288432,8000,2CNN_pool,10000,120,3,0.0247430278584361,1713,500.0152468681336
1,2CNN_pool_fold3_120bp_10000seqs,test,0.9831014715010772,0.9890699404761903,0.986054216811966,2000,2CNN_pool,10000,120,3,0.0247430278584361,1713,500.0152468681336
0,2CNN_pool_fold3_90bp_10000seqs,train,0.9810874704491724,0.998885483421566,0.989752242749443,8000,2CNN_pool,10000,90,3,0.029932613492012,2557,666.6473684310913
1,2CNN_pool_fold3_90bp_10000seqs,test,0.9649565684834116,0.9848114960420128,0.9745251104277496,2000,2CNN_pool,10000,90,3,0.029932613492012,2557,666.6473684310913
0,2CNN_pool_fold3_60bp_6000seqs,train,0.981258064516129,0.9989187519308,0.989953927255682,4800,2CNN_pool,6000,60,3,0.0424555112669865,3750,558.2555673122406
1,2CNN_pool_fold3_60bp_6000seqs,test,0.9207618128622416,0.9840371152537852,0.9504050165154208,1200,2CNN_pool,6000,60,3,0.0424555112669865,3750,558.2555673122406
0,2CNN_pool_fold1_130bp_10000seqs,train,0.9975186104218362,0.999861053216618,0.9986872460543342,8000,2CNN_pool,10000,130,1,0.0195830070897936,2346,646.5689382553101
1,2CNN_pool_fold1_130bp_10000seqs,test,0.9865571158903182,0.992592180841208,0.98954283637485,2000,2CNN_pool,10000,130,1,0.0195830070897936,2346,646.5689382553101
0,2CNN_pool_fold3_80bp_10000seqs,train,0.995085995085995,0.9997213708553916,0.9973853796529478,8000,2CNN_pool,10000,80,3,0.0146803034693002,4936,1081.5372097492218
1,2CNN_pool_fold3_80bp_10000seqs,test,0.9778204987558096,0.992410060088485,0.9847159679289664,2000,2CNN_pool,10000,80,3,0.0146803034693002,4936,1081.5372097492218
0,2CNN_pool_fold4_70bp_6000seqs,train,0.9408751262842876,0.9963717770572796,0.967214020137588,4800,2CNN_pool,6000,70,4,0.0608897182842095,2851,447.6055631637573
1,2CNN_pool_fold4_70bp_6000seqs,test,0.8737094181538626,0.9858024691358024,0.923336280698688,1200,2CNN_pool,6000,70,4,0.0608897182842095,2851,447.6055631637573
0,2CNN_pool_fold0_110bp_6000seqs,train,0.9980794486254112,0.9912481983113954,0.994605061022071,4800,2CNN_pool,6000,110,0,0.0364692212144533,4502,683.539381980896
1,2CNN_pool_fold0_110bp_6000seqs,test,0.9818592523750516,0.9640998439176665,0.9726905930816544,1200,2CNN_pool,6000,110,0,0.0364692212144533,4502,683.539381980896
0,2CNN_pool_fold4_100bp_6000seqs,train,0.9749517080786432,0.9985329318199369,0.9864479296908116,4800,2CNN_pool,6000,100,4,0.0608076079686482,2219,372.2752149105072
1,2CNN_pool_fold4_100bp_6000seqs,test,0.8969952061256237,0.9660079578507388,0.9289146071229945,1200,2CNN_pool,6000,100,4,0.0608076079686482,2219,372.2752149105072
0,2CNN_pool_fold0_60bp_2000seqs,train,0.9542056074766356,0.996939736346516,0.974569745873493,1600,2CNN_pool,2000,60,0,0.1119036972522735,2920,165.96437883377075
1,2CNN_pool_fold0_60bp_2000seqs,test,0.8517407962685324,0.9149427785021006,0.8811606424009525,400,2CNN_pool,2000,60,0,0.1119036972522735,2920,165.96437883377075
0,2CNN_pool_fold2_70bp_6000seqs,train,0.9680182426395728,0.998070094179404,0.9824201253569944,4800,2CNN_pool,6000,70,2,0.0323822309076786,1785,308.77110528945923
1,2CNN_pool_fold2_70bp_6000seqs,test,0.9532569921652732,0.9916666666666668,0.9716490756621172,1200,2CNN_pool,6000,70,2,0.0323822309076786,1785,308.77110528945923
0,2CNN_pool_fold2_40bp_6000seqs,train,0.9437301958339828,0.996349798073936,0.9682810148031412,4800,2CNN_pool,6000,40,2,0.0496079887449741,2333,409.0422873497009
1,2CNN_pool_fold2_40bp_6000seqs,test,0.9010518809056872,0.9928549238894068,0.9411633731373252,1200,2CNN_pool,6000,40,2,0.0496079887449741,2333,409.0422873497009
0,2CNN_pool_fold0_40bp_2000seqs,train,0.8678122192273136,0.9899415204678362,0.9212042246361076,1600,2CNN_pool,2000,40,0,0.1831518474221229,2815,168.63742685317993
1,2CNN_pool_fold0_40bp_2000seqs,test,0.721524988844266,0.9136079900124844,0.7940121248260783,400,2CNN_pool,2000,40,0,0.1831518474221229,2815,168.63742685317993
0,2CNN_pool_fold4_90bp_6000seqs,train,0.9908319308525004,0.9994573643410852,0.9951123270640984,4800,2CNN_pool,6000,90,4,0.0309539614866177,3476,542.5985224246979
1,2CNN_pool_fold4_90bp_6000seqs,test,0.9418158567774936,0.9962790697674418,0.9673544816639462,1200,2CNN_pool,6000,90,4,0.0309539614866177,3476,542.5985224246979
0,2CNN_pool_fold1_30bp_2000seqs,train,0.901742919389978,0.99327302250058,0.9428469840384984,1600,2CNN_pool,2000,30,1,0.1095768021047115,2948,189.83307456970212
1,2CNN_pool_fold1_30bp_2000seqs,test,0.8091629788034492,0.9692709024185348,0.8751592623773075,400,2CNN_pool,2000,30,1,0.1095768021047115,2948,189.83307456970212
0,2CNN_pool_fold2_100bp_2000seqs,train,0.8499354283254412,0.9886020004652244,0.9094789639828026,1600,2CNN_pool,2000,100,2,0.4568105673789978,2261,139.86659240722656
1,2CNN_pool_fold2_100bp_2000seqs,test,0.5015227021040974,0.576155408836973,0.529062389139411,400,2CNN_pool,2000,100,2,0.4568105673789978,2261,139.86659240722656
0,2CNN_pool_fold4_40bp_6000seqs,train,0.9488467114801634,0.9966604535570052,0.9709168386832312,4800,2CNN_pool,6000,40,4,0.0437767332295576,2560,441.6010150909424
1,2CNN_pool_fold4_40bp_6000seqs,test,0.9168494344369802,0.9894330769266434,0.9499510001953644,1200,2CNN_pool,6000,40,4,0.0437767332295576,2560,441.6010150909424
0,2CNN_pool_fold1_20bp_6000seqs,train,0.9270431702092602,0.9951859616429848,0.9588096440048836,4800,2CNN_pool,6000,20,1,0.0591081737230221,3855,579.5597171783447
1,2CNN_pool_fold1_20bp_6000seqs,test,0.8867805221758438,0.98197270868398,0.9298402268842676,1200,2CNN_pool,6000,20,1,0.0591081737230221,3855,579.5597171783447
0,2CNN_pool_fold2_120bp_10000seqs,train,0.9992248062015504,0.999953509995351,0.9995887052586054,8000,2CNN_pool,10000,120,2,0.0141711581647396,3735,955.8520610332488
1,2CNN_pool_fold2_120bp_10000seqs,test,0.9935117682394058,0.9932082231040564,0.9933446393835536,2000,2CNN_pool,10000,120,2,0.0141711581647396,3735,955.8520610332488
0,2CNN_pool_fold0_100bp_10000seqs,train,0.988752052545156,0.999350769801521,0.993999697876156,8000,2CNN_pool,10000,100,0,0.0328533001840114,3364,842.2576084136963
1,2CNN_pool_fold0_100bp_10000seqs,test,0.9570560967749931,0.9907364125394176,0.9731779850235164,2000,2CNN_pool,10000,100,0,0.0328533001840114,3364,842.2576084136963
0,2CNN_pool_fold0_110bp_10000seqs,train,0.9944314761107574,0.99967515894009,0.9970357554411584,8000,2CNN_pool,10000,110,0,0.0155037591010332,3238,826.638167142868
