model_name	split	mac_precision	mac_recall	mac_f1	support	model_type	ds_size	seq_len	fold	best_val_score	epoch_stop	total_time
CNN_simple_fold1_300bp_10000seqs	train	0.6453827913279132	0.9424038873803058	0.7243156605062978	8000	CNN_simple	10000	300	1	0.9047151103019714	173	136.5959014892578
CNN_simple_fold1_300bp_10000seqs	test	0.3289345803543921	0.3254195486851952	0.317208794518485	2000	CNN_simple	10000	300	1	0.9047151103019714	173	136.5959014892578
2CNN_fold2_50bp_10000seqs	train	0.9846743295019156	0.9998299319727892	0.9920718070336068	8000	2CNN	10000	50	2	0.0335853293091058	1389	420.815815448761
2CNN_fold2_50bp_10000seqs	test	0.93301252735215	0.9166129609738632	0.9245888144128388	2000	2CNN	10000	50	2	0.0335853293091058	1389	420.815815448761
CNN_simple_fold3_300bp_10000seqs	train	0.4985621381185547	0.7744382833753626	0.5307558220089926	8000	CNN_simple	10000	300	3	0.9489645566940308	45	114.91297554969788
CNN_simple_fold3_300bp_10000seqs	test	0.3305811098468112	0.3256008369474775	0.2958884515425078	2000	CNN_simple	10000	300	3	0.9489645566940308	45	114.91297554969788
CNN_simple_fold2_150bp_10000seqs	train	0.7640985410016411	0.9879143339553896	0.8504954579491762	8000	CNN_simple	10000	150	2	0.5279739260673523	460	177.92699933052063
CNN_simple_fold2_150bp_10000seqs	test	0.3556505687321749	0.3716450849202264	0.3591640167396768	2000	CNN_simple	10000	150	2	0.5279739260673523	460	177.92699933052063
CNN_simple_fold4_150bp_6000seqs	train	0.9440149325626204	0.9979236188357432	0.9697377333240684	4800	CNN_simple	6000	150	4	0.5401039310296376	643	121.02497410774232
CNN_simple_fold4_150bp_6000seqs	test	0.3820685972561544	0.401618358024052	0.3886556362661602	1200	CNN_simple	6000	150	4	0.5401039310296376	643	121.02497410774232
2CNN_fold3_50bp_2000seqs	train	0.7935483870967742	0.9963814389101744	0.8727084341851598	1600	2CNN	2000	50	3	0.2805245590955019	781	61.53679013252258
2CNN_fold3_50bp_2000seqs	test	0.3566188197767145	0.3838022165387895	0.3633268482490273	400	2CNN	2000	50	3	0.2805245590955019	781	61.53679013252258
CNN_simple_fold1_300bp_2000seqs	train	0.8776984936006342	0.9892933618843684	0.9272143822629084	1600	CNN_simple	2000	300	1	0.6358109056949616	96	24.49860167503357
CNN_simple_fold1_300bp_2000seqs	test	0.3260464758387196	0.326103896103896	0.3252595341202936	400	CNN_simple	2000	300	1	0.6358109056949616	96	24.49860167503357
2CNN_pool_fold3_50bp_10000seqs	train	0.6668669871794872	0.992517006802721	0.7701047794685282	8000	2CNN_pool	10000	50	3	0.077948052406311	2581	654.000638961792
2CNN_pool_fold3_50bp_10000seqs	test	0.6207783745425147	0.9428571428571428	0.7172412755569217	2000	2CNN_pool	10000	50	3	0.077948052406311	2581	654.000638961792
CNN_simple_fold0_150bp_2000seqs	train	0.7851732473811442	0.9886135298057602	0.8661495136198093	1600	CNN_simple	2000	150	0	0.4608094507455826	180	80.48880434036255
CNN_simple_fold0_150bp_2000seqs	test	0.3786375661375661	0.3815710652171777	0.3795157869860756	400	CNN_simple	2000	150	0	0.4608094507455826	180	80.48880434036255
CNN_simple_fold3_300bp_6000seqs	train	0.5311392648258088	0.8128194767634845	0.5784645637346371	4800	CNN_simple	6000	300	3	0.9123333525657654	41	65.34094309806824
CNN_simple_fold3_300bp_6000seqs	test	0.3271744334171482	0.3148956306851044	0.2967174316946433	1200	CNN_simple	6000	300	3	0.9123333525657654	41	65.34094309806824
CNN_simple_fold0_50bp_6000seqs	train	0.8409090909090908	0.9980184005661712	0.9086521560967896	4800	CNN_simple	6000	50	0	0.2236062024533748	701	112.21159100532532
CNN_simple_fold0_50bp_6000seqs	test	0.3406217616580311	0.3476461233470579	0.3421691273150757	1200	CNN_simple	6000	50	0	0.2236062024533748	701	112.21159100532532
2CNN_fold4_50bp_2000seqs	train	0.6333333333333333	0.9910600255427844	0.7415010016951764	1600	2CNN	2000	50	4	0.2957187414169311	499	45.7209677696228
2CNN_fold4_50bp_2000seqs	test	0.3256802721088435	0.3265132139812446	0.3260962111536824	400	2CNN	2000	50	4	0.2957187414169311	499	45.7209677696228
2CNN_fold3_150bp_10000seqs	train	1.0	1.0	1.0	8000	2CNN	10000	150	3	0.1077524248361587	2782	830.9731860160828
2CNN_fold3_150bp_10000seqs	test	0.921004385196658	0.8127763938926059	0.853289376744122	2000	2CNN	10000	150	3	0.1077524248361587	2782	830.9731860160828
CNN_simple_fold3_150bp_10000seqs	train	0.8648026315789474	0.9944014929352172	0.921684196972248	8000	CNN_simple	10000	150	3	0.6183954830169678	609	203.81771087646484
CNN_simple_fold3_150bp_10000seqs	test	0.3344521972706429	0.336456110253331	0.332297331576344	2000	CNN_simple	10000	150	3	0.6183954830169678	609	203.81771087646484
2CNN_fold2_150bp_6000seqs	train	0.8427853192559075	0.99302929180571	0.907336917613336	4800	2CNN	6000	150	2	0.4737870681285858	595	158.71439456939697
2CNN_fold2_150bp_6000seqs	test	0.3821499037691493	0.4001698797072463	0.3882570668448357	1200	2CNN	6000	150	2	0.4737870681285858	595	158.71439456939697
CNN_simple_fold3_50bp_10000seqs	train	0.7988895588383077	0.9969812925170068	0.8784349023098527	8000	CNN_simple	10000	50	3	0.1751154239177703	1067	243.76226949691767
CNN_simple_fold3_50bp_10000seqs	test	0.4286825610355022	0.508577992600549	0.4556444055404473	2000	CNN_simple	10000	50	3	0.1751154239177703	1067	243.76226949691767
2CNN_pool_fold4_300bp_2000seqs	train	0.6035099485803711	0.9072855343605594	0.6782550788376679	1600	2CNN_pool	2000	300	4	0.8190733981132508	225	45.14998960494995
2CNN_pool_fold4_300bp_2000seqs	test	0.3552955920125942	0.381948051948052	0.3547303594729069	400	2CNN_pool	2000	300	4	0.8190733981132508	225	45.14998960494995
CNN_simple_fold4_300bp_6000seqs	train	0.6476720289760104	0.9351196441295888	0.7282181901863346	4800	CNN_simple	6000	300	4	0.855061723391215	110	73.50819516181946
CNN_simple_fold4_300bp_6000seqs	test	0.339165963435712	0.3427794427794428	0.3313289582857746	1200	CNN_simple	6000	300	4	0.855061723391215	110	73.50819516181946
CNN_simple_fold0_300bp_10000seqs	train	0.5188991993376822	0.8061882858347226	0.5592734828530687	8000	CNN_simple	10000	300	0	0.8870222358703613	62	112.14151167869568
CNN_simple_fold0_300bp_10000seqs	test	0.3382257639009555	0.3423940785559228	0.3158728104055157	2000	CNN_simple	10000	300	0	0.8870222358703613	62	112.14151167869568
2CNN_pool_fold2_300bp_10000seqs	train	0.9953663026651606	0.999666523748273	0.9975080410061729	8000	2CNN_pool	10000	300	2	0.0687400895953178	2758	1072.8664002418518
