locus_tag	gene_symbol	product	type
EQU24_RS00005	dnaA	chromosomal replication initiator protein DnaA	CDS
EQU24_RS00010	dnaN	DNA polymerase III subunit beta	CDS
EQU24_RS00015	recF	DNA replication/repair protein RecF	CDS
EQU24_RS00020	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	CDS
EQU24_RS00035		hypothetical protein	CDS
EQU24_RS00040		TolC family protein	CDS
EQU24_RS00045		efflux RND transporter periplasmic adaptor subunit	CDS
EQU24_RS00050		CusA/CzcA family heavy metal efflux RND transporter	CDS
EQU24_RS00055		DUF3240 family protein	CDS
EQU24_RS00060		bifunctional diguanylate cyclase/phosphodiesterase	CDS
EQU24_RS00070	tatA	twin-arginine translocase TatA/TatE family subunit	CDS
EQU24_RS00075	tatB	Sec-independent protein translocase protein TatB	CDS
EQU24_RS00080		2OG-Fe(II) oxygenase	CDS
EQU24_RS00085	lgt	prolipoprotein diacylglyceryl transferase	CDS
EQU24_RS00090	thyA	thymidylate synthase	CDS
EQU24_RS00095		nucleoside triphosphate pyrophosphohydrolase family protein	CDS
EQU24_RS00100		YchJ family protein	CDS
EQU24_RS00105	crp	cAMP-activated global transcriptional regulator CRP	CDS
EQU24_RS00110		OsmC family protein	CDS
EQU24_RS00115	speD	adenosylmethionine decarboxylase	CDS
EQU24_RS00125		autotransporter outer membrane beta-barrel domain-containing protein	CDS
EQU24_RS00130		hypothetical protein	CDS
EQU24_RS00135		DUF2807 domain-containing protein	CDS
EQU24_RS00140		OmpA family protein	CDS
EQU24_RS00145		hypothetical protein	CDS
EQU24_RS00150		DUF4384 domain-containing protein	CDS
EQU24_RS00155		hypothetical protein	CDS
EQU24_RS00160		hypothetical protein	CDS
EQU24_RS00165		hypothetical protein	CDS
EQU24_RS00170		caspase family protein	CDS
EQU24_RS00175		hypothetical protein	CDS
EQU24_RS00180		ISAzo13 family transposase	CDS
EQU24_RS00185		hypothetical protein	CDS
EQU24_RS00190		hypothetical protein	CDS
EQU24_RS00195		DUF4338 domain-containing protein	CDS
EQU24_RS00205		IS66 family transposase	CDS
EQU24_RS00210		DUF3800 domain-containing protein	CDS
EQU24_RS00215		type II toxin-antitoxin system HicB family antitoxin	CDS
EQU24_RS00225		HAD hydrolase-like protein	CDS
EQU24_RS00230		hypothetical protein	CDS
EQU24_RS00245		cation diffusion facilitator family transporter	CDS
EQU24_RS00250		hypothetical protein	CDS
EQU24_RS00255		hypothetical protein	CDS
EQU24_RS00260		hypothetical protein	CDS
EQU24_RS00265		glucosidase	CDS
EQU24_RS00270		Crp/Fnr family transcriptional regulator	CDS
EQU24_RS00275		hypothetical protein	CDS
EQU24_RS00280		adenylate/guanylate cyclase domain-containing protein	CDS
EQU24_RS00285		serine/threonine-protein kinase	CDS
EQU24_RS00290		hypothetical protein	CDS
EQU24_RS00300		AAA family ATPase	CDS
EQU24_RS00305		response regulator	CDS
EQU24_RS00310		EAL domain-containing protein	CDS
EQU24_RS00315		CPBP family intramembrane metalloprotease	CDS
EQU24_RS00320		YcgL domain-containing protein	CDS
EQU24_RS00330		flippase	CDS
EQU24_RS00335		sulfotransferase domain-containing protein	CDS
EQU24_RS00340		sulfotransferase domain-containing protein	CDS
EQU24_RS00345		sulfotransferase	CDS
EQU24_RS00350		methyltransferase domain-containing protein	CDS
EQU24_RS00355		glycosyltransferase family 4 protein	CDS
EQU24_RS00360		glycosyltransferase	CDS
EQU24_RS00365		glycosyltransferase family 2 protein	CDS
EQU24_RS00370		hypothetical protein	CDS
EQU24_RS00375		glycosyltransferase family 4 protein	CDS
EQU24_RS00380		SDR family oxidoreductase	CDS
EQU24_RS00390		glycosyltransferase family 4 protein	CDS
EQU24_RS00395		ATP-binding protein	CDS
EQU24_RS00400		polysaccharide biosynthesis protein	CDS
EQU24_RS00405		LysR family transcriptional regulator	CDS
EQU24_RS00410		methyltransferase domain-containing protein	CDS
EQU24_RS00415		rhodanese-like domain-containing protein	CDS
EQU24_RS00420	typA	translational GTPase TypA	CDS
EQU24_RS00425	hisB	imidazoleglycerol-phosphate dehydratase HisB	CDS
EQU24_RS00430	hisH	imidazole glycerol phosphate synthase subunit HisH	CDS
EQU24_RS00435	hisA	1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase	CDS
EQU24_RS00440	hisF	imidazole glycerol phosphate synthase subunit HisF	CDS
EQU24_RS00445	hisI	phosphoribosyl-AMP cyclohydrolase	CDS
EQU24_RS00450		phosphoribosyl-ATP diphosphatase	CDS
EQU24_RS00455	tatA	twin-arginine translocase TatA/TatE family subunit	CDS
EQU24_RS00460	tatB	Sec-independent protein translocase protein TatB	CDS
EQU24_RS00465	tatC	twin-arginine translocase subunit TatC	CDS
EQU24_RS00470		GDSL-type esterase/lipase family protein	CDS
EQU24_RS00475		pteridine reductase	CDS
EQU24_RS00480		hypothetical protein	CDS
EQU24_RS00485	folK	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase	CDS
EQU24_RS00490	folB	dihydroneopterin aldolase	CDS
EQU24_RS00495	plsY	glycerol-3-phosphate 1-O-acyltransferase PlsY	CDS
EQU24_RS00500	tsaD	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	CDS
EQU24_RS00505	rpsU	30S ribosomal protein S21	CDS
EQU24_RS00510		GatB/YqeY domain-containing protein	CDS
EQU24_RS00515	dnaG	DNA primase	CDS
EQU24_RS00520	rpoD	RNA polymerase sigma factor RpoD	CDS
EQU24_RS00525			tRNA
EQU24_RS00530	metK	methionine adenosyltransferase	CDS
EQU24_RS00535	ahcY	adenosylhomocysteinase	CDS
EQU24_RS00540	metF	methylenetetrahydrofolate reductase [NAD(P)H]	CDS
EQU24_RS00545		16S rRNA (uracil(1498)-N(3))-methyltransferase	CDS
EQU24_RS00550		CPBP family intramembrane metalloprotease	CDS
EQU24_RS00555		YajQ family cyclic di-GMP-binding protein	CDS
EQU24_RS00560		multifunctional CCA addition/repair protein	CDS
EQU24_RS00565		sulfite exporter TauE/SafE family protein	CDS
EQU24_RS00570	guaB	IMP dehydrogenase	CDS
EQU24_RS00575	guaA	glutamine-hydrolyzing GMP synthase	CDS
EQU24_RS00580	tadA	tRNA adenosine(34) deaminase TadA	CDS
EQU24_RS00585	pgi	glucose-6-phosphate isomerase	CDS
EQU24_RS00590		hypothetical protein	CDS
EQU24_RS00595		multicopper oxidase	CDS
EQU24_RS00600		DedA family protein	CDS
EQU24_RS00605		hypothetical protein	CDS
EQU24_RS00610		YceI family protein	CDS
EQU24_RS00620	msbA	lipid A export permease/ATP-binding protein MsbA	CDS
EQU24_RS00625			rRNA
EQU24_RS00630			tRNA
EQU24_RS00635			tRNA
EQU24_RS00640			rRNA
EQU24_RS00645			rRNA
EQU24_RS00650		ABC transporter permease	CDS
EQU24_RS00655		ATP-binding cassette domain-containing protein	CDS
EQU24_RS00660		MlaD family protein	CDS
EQU24_RS00665		hypothetical protein	CDS
EQU24_RS00670		hypothetical protein	CDS
EQU24_RS00675		SCO family protein	CDS
EQU24_RS00680		selenium-binding family protein	CDS
EQU24_RS00685		DUF4242 domain-containing protein	CDS
EQU24_RS00690		TetR/AcrR family transcriptional regulator	CDS
EQU24_RS00695		hypothetical protein	CDS
EQU24_RS00700		YggS family pyridoxal phosphate-dependent enzyme	CDS
EQU24_RS00705		type IV pilus twitching motility protein PilT	CDS
EQU24_RS00710		PilT/PilU family type 4a pilus ATPase	CDS
EQU24_RS00715	djlA	co-chaperone DjlA	CDS
EQU24_RS00720		phosphoribosylaminoimidazolesuccinocarboxamide synthase	CDS
EQU24_RS00725	radC	DNA repair protein RadC	CDS
EQU24_RS00730	coaBC	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC	CDS
EQU24_RS00735	dut	dUTP diphosphatase	CDS
EQU24_RS00740		phosphomannomutase/phosphoglucomutase	CDS
EQU24_RS00745	argB	acetylglutamate kinase	CDS
EQU24_RS00750		DUF4124 domain-containing protein	CDS
EQU24_RS00760		YggT family protein	CDS
EQU24_RS00765	proC	pyrroline-5-carboxylate reductase	CDS
EQU24_RS00770		deoxyribodipyrimidine photo-lyase	CDS
EQU24_RS00775		SDR family oxidoreductase	CDS
EQU24_RS00785		disulfide bond formation protein B	CDS
EQU24_RS00790		class I SAM-dependent methyltransferase	CDS
EQU24_RS00795		primosomal protein N'	CDS
EQU24_RS00800	argS	arginine--tRNA ligase	CDS
EQU24_RS00805		SPOR domain-containing protein	CDS
EQU24_RS00820		DUF4276 family protein	CDS
EQU24_RS00825		AAA family ATPase	CDS
EQU24_RS00830	trpC	indole-3-glycerol phosphate synthase TrpC	CDS
EQU24_RS00835	trpD	anthranilate phosphoribosyltransferase	CDS
EQU24_RS00840		aminodeoxychorismate/anthranilate synthase component II	CDS
EQU24_RS00845	trpE	anthranilate synthase component I	CDS
EQU24_RS00850		fumarylacetoacetate hydrolase family protein	CDS
EQU24_RS00855		ATP-binding protein	CDS
EQU24_RS00860		response regulator	CDS
EQU24_RS00865	hemW	radical SAM family heme chaperone HemW	CDS
EQU24_RS00870	pyrE	orotate phosphoribosyltransferase	CDS
EQU24_RS00875		dynamin family protein	CDS
EQU24_RS00880		hypothetical protein	CDS
EQU24_RS00885	trmB	tRNA (guanosine(46)-N7)-methyltransferase TrmB	CDS
EQU24_RS00890	thiS	sulfur carrier protein ThiS	CDS
EQU24_RS00895	aroG	3-deoxy-7-phosphoheptulonate synthase AroG	CDS
EQU24_RS00900		ABC transporter ATP-binding protein/permease	CDS
EQU24_RS00905		DUF389 domain-containing protein	CDS
EQU24_RS00910		DUF3301 domain-containing protein	CDS
EQU24_RS00915		heavy metal-binding domain-containing protein	CDS
EQU24_RS00920		DUF1289 domain-containing protein	CDS
EQU24_RS00925		hypothetical protein	CDS
EQU24_RS00930		DUF6164 family protein	CDS
EQU24_RS00940		hypothetical protein	CDS
EQU24_RS00945		heavy metal translocating P-type ATPase metal-binding domain-containing protein	CDS
EQU24_RS00950		hypothetical protein	CDS
EQU24_RS00955		hypothetical protein	CDS
EQU24_RS00960		heavy metal translocating P-type ATPase	CDS
EQU24_RS00965		sulfite exporter TauE/SafE family protein	CDS
EQU24_RS00970		1-acyl-sn-glycerol-3-phosphate acyltransferase	CDS
EQU24_RS00975	mepA	penicillin-insensitive murein endopeptidase	CDS
EQU24_RS00980		thiopurine S-methyltransferase	CDS
EQU24_RS00985		right-handed parallel beta-helix repeat-containing protein	CDS
EQU24_RS00990	aqpZ	aquaporin Z	CDS
EQU24_RS00995		DUF1311 domain-containing protein	CDS
EQU24_RS01000		PLDc N-terminal domain-containing protein	CDS
EQU24_RS01005		hypothetical protein	CDS
EQU24_RS01010		glycosyltransferase	CDS
EQU24_RS01015		site-specific integrase	CDS
EQU24_RS01020		DUF4325 domain-containing protein	CDS
EQU24_RS01025		ISL3 family transposase	CDS
EQU24_RS01030		hypothetical protein	CDS
EQU24_RS01035		hypothetical protein	CDS
EQU24_RS01040		hypothetical protein	CDS
EQU24_RS01050		GNAT family N-acetyltransferase	CDS
EQU24_RS01055		Tn3 family transposase	CDS
EQU24_RS01060		reverse transcriptase domain-containing protein	CDS
EQU24_RS01065		hypothetical protein	CDS
EQU24_RS01070		IS66 family transposase	CDS
EQU24_RS01075		cell envelope integrity protein TolA	CDS
EQU24_RS01080		hypothetical protein	CDS
EQU24_RS01085		VOC family protein	CDS
EQU24_RS01090		hypothetical protein	CDS
EQU24_RS01095		GspH/FimT family pseudopilin	CDS
EQU24_RS01100		prepilin-type N-terminal cleavage/methylation domain-containing protein	CDS
EQU24_RS01105		hypothetical protein	CDS
EQU24_RS01110		prepilin-type N-terminal cleavage/methylation domain-containing protein	CDS
EQU24_RS01115		hypothetical protein	CDS
EQU24_RS01120		hypothetical protein	CDS
EQU24_RS01125		hypothetical protein	CDS
EQU24_RS01130		ATP-binding protein	CDS
EQU24_RS01135		hypothetical protein	CDS
EQU24_RS01140		metal-dependent hydrolase	CDS
EQU24_RS01145		3'-5' exonuclease	CDS
EQU24_RS01150		hypothetical protein	CDS
EQU24_RS01155		hypothetical protein	CDS
EQU24_RS01160		DUF5063 domain-containing protein	CDS
EQU24_RS01170		Y-family DNA polymerase	CDS
EQU24_RS01175	umuD	translesion error-prone DNA polymerase V autoproteolytic subunit	CDS
EQU24_RS01180		helix-turn-helix domain-containing protein	CDS
EQU24_RS01185		hypothetical protein	CDS
EQU24_RS01190		hypothetical protein	CDS
EQU24_RS01195		hypothetical protein	CDS
EQU24_RS01200		hypothetical protein	CDS
EQU24_RS01205		hypothetical protein	CDS
EQU24_RS01210		recombinase family protein	CDS
EQU24_RS01215		IS66 family transposase	CDS
EQU24_RS01220		hypothetical protein	CDS
EQU24_RS01225		hypothetical protein	CDS
EQU24_RS01230		hypothetical protein	CDS
